symbol1,symbol2
RANBP9,CDC5L
RANBP9,DDX1
RANBP9,WDR26
RANBP9,HLA-DPB1
RANBP9,GDNF
RANBP9,ARMC8
RANBP9,DDX4
RANBP9,RAN
RANBP9,GLIPR1L2
CD4,PLAT
CD4,CCR5
CD4,LCK
CD4,CD5
CD4,HLA-DRB1
CD4,HLA-DRA
PPP5C,CRY1
PPP5C,C20orf194
PPP5C,PPP2R3A
PPP5C,EGFR
PPP5C,RAB41
PPP5C,TATDN1
PPP5C,WIPI2
PPP5C,HSPA4
PPP5C,CHORDC1
PPP5C,PPP2R1A
PPP5C,HSP90AA1
PPP5C,LCK
PPP5C,HNRNPA1
PPP5C,PSPC1
PPP5C,CDC16
PPP5C,HSP90AB1
PPP5C,ITGB1BP2
PPP5C,DIS3
PPP5C,BPHL
PPP5C,DUT
PPP5C,FBXO25
PPP5C,CDK18
PPP5C,CDC27
PPP5C,PRAME
PPP5C,CRY2
PPP5C,PTGES3
UBR7,THOC1
UBR7,RPAIN
UBR7,THOC5
MAP4K5,MAP4K3
MAP4K5,GRB2
MAP4K5,CDRT15
ERCC1,MSH2
ERCC1,RPA1
ERCC1,SLX4
ERCC1,FEN1
ERCC1,MUS81
ERCC1,ERCC4
ERCC1,USP45
ERCC1,NKAIN2
ERCC1,XPA
ERCC1,MDC1
ERCC1,RAD1
ERCC1,TP53BP1
ERCC1,BRCA1
ERCC1,UBL7
GPRC5A,ACTR2
HEBP1,SNX3
HEBP1,COTL1
HEBP1,PCBP1
HEBP1,UBE2L3
COX15,SCO1
COX15,MRPL15
COX15,NDUFS6
COX15,NDUFS4
COX15,NDUFS8
COX15,CYC1
COX15,NDUFA12
COX15,SURF1
COX15,COX4I1
RGPD5,PSMD7
RGPD5,CCDC74B
RGPD5,UBE2I
RGPD5,SUMO1
RGPD5,XPO1
RGPD5,RANGAP1
RGPD5,RAN
XYLT2,POMK
XYLT2,B4GALT3
SCTR,ADCYAP1
RALBP1,RALA
RALBP1,TRAF2
RALBP1,CCNB1
RALBP1,AP2S1
RALBP1,RALB
RALBP1,CCNB2
RALBP1,AP2M1
RALBP1,FADD
RALBP1,TSFM
RALBP1,GAK
RALBP1,SLC25A41
RALBP1,BMP2K
RALBP1,RAC1
RALBP1,REPS2
RALBP1,AP1B1
RALBP1,CASP8
RALBP1,AP2A1
RALBP1,AP4B1
RALBP1,GPS2
RALBP1,PICALM
RALBP1,STAMBP
RALBP1,WWC2
RALBP1,AAK1
RALBP1,REPS1
RALBP1,TNF
RALBP1,RUNDC3A
RALBP1,CLINT1
RALBP1,AP2B1
RALBP1,IKBKG
PSD,HUS1
PSD,TAMALIN
PSD,ARF6
PSD,RORC
PSD,CSNK2B
SLC7A9,DDX39A
SLC7A9,THOC1
SLC7A9,THOC7
SLC7A9,ZHX1
SLC7A9,RPS15A
SLC7A9,CDC5L
SLC7A9,EXOSC9
SLC7A9,NCBP3
SLC7A9,TDG
